topic	word	score
0	minneapolis	0.07782067622492524
0	shooting	0.06823808712030845
0	ice	0.057006066628021074
0	trump	0.05009711725002761
0	minnesota	0.040231669893677956
0	minneapolis shooting	0.038315876089217105
0	man	0.03583274510714063
0	pretti	0.03545282945118568
0	alex pretti	0.03449793251864098
0	alex	0.034033749254249374
1	russian	0.07442726977504913
1	trump	0.06898397292770957
1	says	0.05900594495718807
1	china	0.05651323927724093
1	canada	0.05309990165804593
1	eu	0.049586812318955474
1	russia	0.048371373019683195
1	100	0.04717507389165039
1	deal	0.0460448971533158
1	talks	0.04328792077868582
2	day	0.12442305510371236
2	republic day	0.11480995295956317
2	republic	0.11397496547393984
2	padma	0.0977833763619013
2	2026	0.07945103730062572
2	delhi	0.04673518741821165
2	india	0.04268773418294643
2	list	0.0406923258679429
2	cm	0.030874568656929786
2	chief	0.028501673505108318
3	japan	0.1924561044758051
3	wins	0.11229763376337798
3	vs	0.07175640224274442
3	australian	0.04881468002379679
3	open	0.04775957653884073
3	india	0.047244438481559216
3	ties	0.043456872301413325
3	record	0.041003658424425375
3	win	0.041003658424425375
3	new	0.037922177171654796
4	storm	0.16810549964770544
4	winter	0.12966269666233393
4	power	0.1204832640500145
4	carrying	0.0784254982270164
4	dead	0.07547440089088339
4	people	0.07078126300956018
4	sinks	0.06930227530172757
4	000	0.06284652834396356
4	dies	0.054491703958775825
4	killed	0.04790906302996826
5	social media	0.23568769517129057
5	social	0.22979202825313777
5	media	0.22446815464601189
5	fast	0.2141045903630608
5	track	0.20767727753495635
5	children	0.16642286251363175
5	france	0.14273639357537385
5	15	0.12826751694057825
5	children 15	0.12057137913177576
5	pope	0.12057137913177576
6	26 january	0.3279477172825155
6	26	0.3114533356394933
6	today	0.3063399842021457
6	january	0.30171219632573376
6	2026	0.23434043325033044
6	work	0.09636865178488961
6	buy	0.07114727204164742
6	internal	0.07114727204164742
6	money	0.07114727204164742
6	night	0.0617893899171651
7	weapon	0.2513606717492952
7	maduro	0.2401049459725216
7	prisoners	0.2401049459725216
7	political	0.23092475384296451
7	used	0.23092475384296451
7	rights group	0.1675737811661968
7	raid	0.1675737811661968
7	trump says	0.1487845458455168
7	rights	0.1487845458455168
7	says	0.13708047777624707
8	game	0.3243942970651168
8	title	0.3243942970651168
8	win	0.29581210720478307
8	thrilling	0.24901545214576595
8	reach	0.22486018749807576
8	head	0.20900686202108312
8	play	0.1341191022046465
8	controversial	0.1341191022046465
8	31	0.1341191022046465
8	confirms	0.1341191022046465
