Topic	Count	Name	Representation	Representative_Docs
-1	132	-1_mark_man_funding_dhs	['mark', 'man', 'funding', 'dhs', 'government', 'sundance', 'voice', 'face', 'india', 'senate']	['Senate Dems revolt against DHS funding bill amid Minneapolis chaos, hiking government shutdown risk', 'Senate Democrats Threaten to Shut Down Government Over DHS Funding Following Minnesota Shooting', 'Schumer says Dems will shut down government over funding for DHS']
0	315	0_minneapolis_shooting_ice_trump	['minneapolis', 'shooting', 'ice', 'trump', 'minnesota', 'minneapolis shooting', 'man', 'pretti', 'alex pretti', 'alex']	['Analysing the Minneapolis shooting frame by frame', 'In court filings, witnesses describe fatal Minneapolis shooting of Alex Pretti', 'Another Fatal Shooting in Minneapolis']
1	221	1_russian_trump_says_china	['russian', 'trump', 'says', 'china', 'canada', 'eu', 'russia', '100', 'deal', 'talks']	['INTERVIEW: Russia’s security 100% guaranteed — senior Russian diplomat', 'Trump threatens 100% tariffs on Canada if it does China deal', 'Carney says Canada not pursuing free trade deal with China as Trump threatens 100% tariffs']
2	198	2_day_republic day_republic_padma	['day', 'republic day', 'republic', 'padma', '2026', 'delhi', 'india', 'list', 'cm', 'chief']	"[""Republic Day 2026: Why is India's R-Day celebrated on January 26th?"", 'Republic Day 2026: How to send Republic Day wishes stickers on WhatsApp', 'Republic Day 2026 Live Updates: India Celebrates 77th Republic Day']"
3	82	3_japan_wins_vs_australian	['japan', 'wins', 'vs', 'australian', 'open', 'india', 'ties', 'record', 'win', 'new']	"['Tearful goodbyes as Japan returns pandas to China amid worsening ties', 'Japan returns last 2 pandas to China amid strained ties', ""Japan's Kao Miura wins Four Continents figure skating championship in Olympic tuneup""]"
4	71	4_storm_winter_power_carrying	['storm', 'winter', 'power', 'carrying', 'dead', 'people', 'sinks', '000', 'dies', 'killed']	['US winter storm leads to more than 100,000 power outages, thousands of flight cancellations', 'Snow, Sleet, Ice and Power Down as Monster Winter Storm Smashes 180M+ Americans', 'US winter storm: 13,000 flights canceled as temperatures dip']
5	21	5_social media_social_media_fast	['social media', 'social', 'media', 'fast', 'track', 'children', 'france', '15', 'children 15', 'pope']	"['Macron pushes for fast-track ban on social media for children under 15', '‘Our children’s brains are not for sale’: Macron says France to fast-track ban on social media for under-15s', ""France's Macron pushes for fast-track ban on social media for children under 15""]"
6	19	6_26 january_26_today_january	['26 january', '26', 'today', 'january', '2026', 'work', 'buy', 'internal', 'money', 'night']	['Aries Horoscope Today, 26 January 2026: A reunion or a meaningful new connection is likely', 'Sagittarius Horoscope Today, 26 January 2026: Even so, a mentor’s guidance can sharpen outcomes', 'Scorpio Horoscope Today, 26 January 2026: Skip loans today; repayment could become troublesome, says Ganesha']
7	10	7_weapon_maduro_prisoners_political	['weapon', 'maduro', 'prisoners', 'political', 'used', 'rights group', 'raid', 'trump says', 'rights', 'says']	['Venezuela frees dozens of political prisoners, human rights group says', 'Trump says US used secret weapon to disable Venezuelan equipment in Maduro raid', 'Trump says US used ‘discombobulator’ weapon in Venezuela’s Maduro raid']
8	10	8_game_title_win_thrilling	['game', 'title', 'win', 'thrilling', 'reach', 'head', 'play', 'controversial', '31', 'confirms']	"[""Broncos' Jarrett Stidham impresses with TD drive early in AFC title game but makes costly mistake"", 'Seahawks advance to Super Bowl with thrilling 31-27 win over Rams in NFC title game', 'Patriots head back to Super Bowl after narrow AFC title win over Broncos']"
