Category Level 1	Category Level 2	Category Level 3	ID	Article Title
Business/Economy	Africa Economy	Health/Trade	692262a8f58f79a697d31575	Egypt’s Unified Procurement Authority explores Pan-African digital platform to expand access to medicines
Business/Economy	Asia Economy	Tourism/Trade	6922630ff58f79a697d315a0	Chinese cruise ships look to steer clear of Japan amid diplomatic dispute
Business/Economy	Asia Economy	Tourism/Trade	6922630ff58f79a697d3159e	Japan businesses brush off worries over China tourists
Business/Economy	Asia Economy	Tourism/Trade	69226294f58f79a697d3154b	Japanese businesses brush off worries over China tourists
Business/Economy	Asia Economy	Finance/Markets	69226310f58f79a697d315a1	Takaichi faces market tests from yen to stocks and bonds
Business/Economy	Corporate News	Auto Industry	69226231f58f79a697d31390	Chinese 'automotive invasion in full swing' as hybrids from MG	 BYD	 Jaecoo and more impress drivers
Business/Economy	Corporate News	Aviation	6922631af58f79a697d315e7	Activist Ananym Capital sees upside if Baker Hughes spins off its oilfield services business
Business/Economy	Corporate News	Consumer Tech	69226253f58f79a697d3141f	AI Christmas: The latest devices from Amazon	 Meta	 Google and more
Business/Economy	Corporate News	Consumer Tech	69226317f58f79a697d315c6	Amazon	 Meta	 Google race to put AI in your home	 at work	 and on the go
Business/Economy	Corporate News	Aviation	69226236f58f79a697d313b9	Fiery UPS plane crash could spell the end for MD-11 fleet if the repairs prove too costly
Business/Economy	Corporate News	Automotive	69226257f58f79a697d31425	Ford to ramp up spending on electric vehicles
Business/Economy	Corporate News	Aviation	6922623ff58f79a697d313d3	Fuel tanker explosion and crash in Mexico kills at least 15
Business/Economy	Corporate News	Aviation	6922623ff58f79a697d313d2	Fuel tanker truck explosion and crash in Mexico kills at least 15
Business/Economy	Corporate News	Aviation	69226234f58f79a697d313a0	Fuel tanker explosion and crash in Mexico kills at least 15
Business/Economy	Corporate News	Aviation	69226235f58f79a697d313ad	Fuel tanker explosion and crash in Mexico kills at least 15
